         259169 function calls (254411 primitive calls) in 3.619 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14/11    0.001    0.000    0.002    0.000 abc.py:148(__subclasscheck__)
        9    0.001    0.000    0.003    0.000 abc.py:86(__new__)
        9    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.001    0.001    0.133    0.133 add_newdocs.py:9(<module>)
        1    0.000    0.000    0.006    0.006 agreement.py:73(<module>)
        1    0.000    0.000    0.005    0.005 agreement.py:86(AnnotationTask)
        1    0.001    0.001    0.001    0.001 align.py:10(<module>)
        1    0.000    0.000    0.000    0.000 align.py:16(AlignedSent)
        1    0.000    0.000    0.000    0.000 align.py:201(Alignment)
        1    0.000    0.000    0.000    0.000 align.py:288(IBMModel1)
        1    0.000    0.000    0.000    0.000 aligned.py:15(AlignedCorpusReader)
        1    0.000    0.000    0.001    0.001 aligned.py:8(<module>)
        1    0.000    0.000    0.000    0.000 aligned.py:86(AlignedSentCorpusView)
        2    0.000    0.000    0.000    0.000 api.py:10(<module>)
        1    0.000    0.000    0.000    0.000 api.py:10(StemmerI)
        1    0.000    0.000    0.000    0.000 api.py:109(Direction)
        3    0.002    0.001    0.002    0.001 api.py:11(<module>)
        1    0.000    0.000    0.000    0.000 api.py:11(ClusterI)
        1    0.000    0.000    0.000    0.000 api.py:11(ModelI)
       18    0.000    0.000    0.000    0.000 api.py:115(__init__)
        1    0.000    0.000    0.000    0.000 api.py:116(ProverCommand)
        2    0.002    0.001    0.002    0.001 api.py:12(<module>)
        1    0.006    0.006    0.020    0.020 api.py:13(<module>)
        1    0.000    0.000    0.000    0.000 api.py:14(ParserI)
        1    0.000    0.000    0.000    0.000 api.py:143(ModelBuilderCommand)
        1    0.000    0.000    0.000    0.000 api.py:16(TokenizerI)
        1    0.000    0.000    0.000    0.000 api.py:17(ChunkParserI)
        1    0.000    0.000    0.000    0.000 api.py:174(BaseTheoremToolCommand)
        2    0.000    0.000    2.043    1.022 api.py:18(request)
        1    0.001    0.001    0.002    0.002 api.py:19(<module>)
        1    0.000    0.000    0.000    0.000 api.py:19(TaggerI)
        1    0.000    0.000    0.000    0.000 api.py:190(PrimitiveCategory)
       42    0.000    0.000    0.000    0.000 api.py:196(__init__)
        1    0.000    0.000    0.001    0.001 api.py:20(<module>)
        1    0.000    0.000    0.000    0.000 api.py:214(CategorizedCorpusReader)
        1    0.000    0.000    0.000    0.000 api.py:22(CorpusReader)
        1    0.000    0.000    0.000    0.000 api.py:24(Prover)
        1    0.000    0.000    0.000    0.000 api.py:248(FunctionalCategory)
        1    0.000    0.000    0.000    0.000 api.py:251(BaseProverCommand)
       18    0.000    0.000    0.000    0.000 api.py:254(__init__)
        1    0.000    0.000    0.000    0.000 api.py:27(ClassifierI)
        1    0.000    0.000    0.000    0.000 api.py:304(BaseModelBuilderCommand)
        1    0.000    0.000    0.000    0.000 api.py:348(SyntaxCorpusReader)
        1    0.000    0.000    0.000    0.000 api.py:360(TheoremToolCommandDecorator)
        1    0.000    0.000    0.000    0.000 api.py:393(ProverCommandDecorator)
        1    0.000    0.000    0.000    0.000 api.py:43(ModelBuilder)
        1    0.000    0.000    0.000    0.000 api.py:440(ModelBuilderCommandDecorator)
        1    0.000    0.000    0.000    0.000 api.py:47(CCGVar)
        1    0.000    0.000    0.000    0.000 api.py:494(ParallelProverBuilder)
        1    0.000    0.000    0.000    0.000 api.py:530(ParallelProverBuilderCommand)
        1    0.000    0.000    0.000    0.000 api.py:55(__init__)
        1    0.000    0.000    0.000    0.000 api.py:569(TheoremToolThread)
        2    0.000    0.000    2.044    1.022 api.py:57(get)
        1    0.000    0.000    0.000    0.000 api.py:63(StringTokenizer)
        1    0.000    0.000    0.000    0.000 api.py:64(new_id)
        1    0.000    0.000    0.000    0.000 api.py:67(TheoremToolCommand)
        1    0.000    0.000    0.000    0.000 api.py:74(FeaturesetTaggerI)
        1    0.000    0.000    0.000    0.000 api.py:8(<module>)
        1    0.000    0.000    0.000    0.000 api.py:8(AbstractCCGCategory)
        1    0.000    0.000    0.000    0.000 api.py:83(HiddenMarkovModelTaggerTransformI)
        1    0.000    0.000    0.000    0.000 api.py:9(<module>)
        1    0.000    0.000    0.000    0.000 api.py:90(MultiClassifierI)
        1    0.000    0.000    0.000    0.000 arrayprint.py:387(FloatFormat)
        1    0.002    0.002    0.002    0.002 arrayprint.py:4(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:499(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:529(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:540(ComplexFormat)
